term,preferred_term,section_letter,section,definition,preferred_phrasing_note,source_url,source_note,source_status,term_slug
Lie/Bet questionnaire,,C,"Regulators, programs, and clinical instruments","A two-question screen: have you ever lied about your gambling, and have you ever felt the need to bet more money. It is the shortest widely used instrument and is common in helpline and intake settings.",,,[UNSOURCED — no primary source opened for this draft] Verify before publishing.,unsourced,lie-bet-questionnaire
Gamblers Anonymous (GA),,C,"Regulators, programs, and clinical instruments","A worldwide peer-support fellowship founded in 1957, using a twelve-step program and in-person and online meetings, free to attend. It is the most available form of gambling support in the US and is independent of treatment providers and of NCPG.",use the organization's full proper name. Do not use its name as a generic adjective for other services.,https://www.gamblersanonymous.org/,,sourced,gamblers-anonymous-ga
Gam-Anon,,C,"Regulators, programs, and clinical instruments","The separate fellowship for family members and friends affected by someone else's gambling, with its own meetings and literature. Its existence is the clearest institutional acknowledgment that gambling harm lands on households, not individuals.",,https://www.gam-anon.org/,,sourced,gam-anon
GameSense,,C,"Regulators, programs, and clinical instruments","A responsible-gambling education program delivered inside casinos and sportsbooks, staffed by advisors who explain how the games actually work and how to set limits. Originally developed by the British Columbia Lottery Corporation, later licensed in the US including by the Massachusetts Gaming Commission and MGM Resorts.",,https://gamesense.com/,,sourced,gamesense
NVSEP (National Voluntary Self-Exclusion Program),,C,"Regulators, programs, and clinical instruments","A multi-jurisdiction self-exclusion program operated by idPair that lets a person self-exclude across participating jurisdictions from one enrollment, rather than filing separately in each state. It launched in 2024 and has been adding jurisdictions since; coverage is still partial, so it complements rather than replaces state programs.",,https://www.nvsep.org/,,sourced,nvsep-national-voluntary-self-exclusion-program
State self-exclusion program,,C,"Regulators, programs, and clinical instruments","A self-exclusion list run by an individual state's gambling regulator, covering the operators that state licenses. Terms, durations, scope (retail, online, or both), and whether the exclusion can be lifted all vary by state — there is no national standard, which is the single biggest practical obstacle a person in recovery hits.",,https://www.ncpgambling.org/help-treatment/help-by-state/,,sourced,state-self-exclusion-program
DGE (New Jersey Division of Gaming Enforcement),,C,"Regulators, programs, and clinical instruments","New Jersey's gambling regulator, part of the state Attorney General's office, which licenses operators and runs the state's self-exclusion lists for casino, internet, and sports wagering. Because New Jersey regulated online gambling early, its rules are the template many other states copied.",,https://www.nj.gov/oag/ge/,,sourced,dge-new-jersey-division-of-gaming-enforcement
PGCB (Pennsylvania Gaming Control Board),,C,"Regulators, programs, and clinical instruments","Pennsylvania's regulator, which operates that state's self-exclusion programs and publishes monthly revenue and hold data by operator. Its data releases are among the more usable state sources for anyone tracking gambling harm indicators.",,https://gamingcontrolboard.pa.gov/,,sourced,pgcb-pennsylvania-gaming-control-board
MGCB (Michigan Gaming Control Board),,C,"Regulators, programs, and clinical instruments","Michigan's regulator, notable in harm reporting because it publishes responsible-gaming database enrollment figures on a regular cadence — one of the few states where self-exclusion volume can be tracked month to month.",,https://www.michigan.gov/mgcb,,sourced,mgcb-michigan-gaming-control-board
State affiliate council,,C,"Regulators, programs, and clinical instruments","A state-level nonprofit affiliated with NCPG that provides local helpline coverage, training, and treatment referral. Affiliates are the people a journalist should call for state-specific numbers, and not every state has one.",,https://www.ncpgambling.org/about-us/state-affiliates/,,sourced,state-affiliate-council
Problem Gambling Awareness Month (PGAM),,C,"Regulators, programs, and clinical instruments","An annual NCPG campaign held each March, providing the one predictable national news hook in gambling harm coverage. It is when most state councils release their own figures.",,https://www.ncpgambling.org/problem-gambling/pgam/,,sourced,problem-gambling-awareness-month-pgam
Problem gambler,person experiencing gambling harm,D,Stigma-preferred language pairs,"""Problem gambler"" makes the problem the person's identity and implies the harm is a property of them rather than of a behavior and a product. Person-first phrasing separates the two, which measurably changes how much blame readers assign. Note: ""problem gambling"" as the name of a *field* or *program* (NCPG, Problem Gambling Awareness Month) stays — you do not rename organizations.",person experiencing gambling harm · person with a gambling problem.,,,n/a - language pair,problem-gambler
"Gambling addict"" / ""addict",person with a gambling disorder,D,Stigma-preferred language pairs,Labeling someone an addict collapses a whole person into a diagnosis and is one of the most-studied stigmatizing terms in addiction research. Person-first phrasing keeps the condition secondary to the person.,person with a gambling disorder · person with a gambling addiction.,,,n/a - language pair,gambling-addict-addict
Compulsive gambler,person with a gambling disorder,D,Stigma-preferred language pairs,Clinically outdated: the DSM moved gambling out of the impulse-control chapter in 2013. It also carries a whiff of the untreatable.,person with a gambling disorder.,,,n/a - language pair,compulsive-gambler
Pathological gambler,person with a gambling disorder,D,Stigma-preferred language pairs,"The pre-2013 DSM term, retired with the DSM-5. Still appears in older literature; it should not appear in new writing.",person with a gambling disorder.,,,n/a - language pair,pathological-gambler
"Degenerate"" / ""degen",person with a gambling disorder,D,Stigma-preferred language pairs,Betting-culture slang that people often apply to themselves affectionately and that lands very differently in print. It explicitly frames harm as moral decay.,never in your own voice; quote it only when a source says it about themselves.,,,n/a - language pair,degenerate-degen
Whale,high-spending customer / customer experiencing heavy losses,D,Stigma-preferred language pairs,Industry term for the small number of customers who supply an outsized share of revenue. It describes a person being harmed as a prize to be landed.,"""a customer the operator identified as high-value,"" or say plainly what happened: losses, hosting, offers.",,,n/a - language pair,whale
Clean,gambling-free,D,Stigma-preferred language pairs,"""Clean"" makes its opposite ""dirty,"" which is exactly the moral framing that keeps people from asking for help. The same objection applies to ""clean time"" and ""clean date.""",gambling-free · bet-free · in recovery · a gambling-free date.,,,n/a - language pair,clean
Dirty,currently gambling / experiencing a recurrence,D,Stigma-preferred language pairs,"Same problem, sharper. There is no clinical content in it at all.",currently gambling · has had a recurrence.,,,n/a - language pair,dirty
"Slipped up"" / ""fell off the wagon",had a lapse,D,Stigma-preferred language pairs,"Both phrases imply carelessness and both make a clinical event sound like a joke. ""Lapse"" is precise and neutral, and it distinguishes a single event from a sustained return.",had a lapse · returned to gambling once.,,,n/a - language pair,slipped-up-fell-off-the-wagon
Relapser,person who experienced a recurrence,D,Stigma-preferred language pairs,Turning an event into a noun for a person implies it is what they are and what they will do again.,person who has experienced a recurrence.,,,n/a - language pair,relapser
Clean and sober,in recovery,D,Stigma-preferred language pairs,"Imported from alcohol and drug recovery and a poor fit for gambling, where nothing is ingested; many people harmed by gambling say it makes their experience sound like it does not count.",in recovery · gambling-free.,,,n/a - language pair,clean-and-sober
"Gambling den"" / ""vice",gambling venue / gambling product,D,Stigma-preferred language pairs,"Moralizing vocabulary makes gambling harm sound like a character issue rather than a public-health one, and it pushes coverage toward shame and away from cause.",casino · sportsbook · gambling product · gambling venue.,,,n/a - language pair,gambling-den-vice
Committed suicide,died by suicide,D,Stigma-preferred language pairs,"""Committed"" carries the grammar of crime and sin. This matters acutely in gambling coverage, where suicide risk is elevated and reporting guidelines apply.",died by suicide · took their own life. Always pair with a help resource.,,,n/a - language pair,committed-suicide
Enabler,family member affected by gambling / affected other,D,Stigma-preferred language pairs,"It blames the person absorbing the damage — usually a partner or parent — for the damage. Bailouts are a diagnostic feature of gambling disorder, not a character defect in the person who paid.",affected other · family member affected by gambling.,,,n/a - language pair,enabler
Codependent,affected other,D,Stigma-preferred language pairs,"Pathologizes an ordinary response to living with someone in crisis, and has weak evidentiary grounding.",affected other.,,,n/a - language pair,codependent
Habit,gambling disorder / gambling harm,D,Stigma-preferred language pairs,Calling a diagnosable disorder a habit understates it to the point of misinformation and suggests that stopping is a matter of trying harder.,gambling disorder · gambling harm · a gambling problem.,,,n/a - language pair,habit
Binge,episode of heavy gambling,D,Stigma-preferred language pairs,"Borrowed from eating and drinking language, and in gambling it obscures the actual facts — how long, how much, which product.",an episode of heavy gambling · a session in which they lost X.,,,n/a - language pair,binge
"Abuse"" (as in gambling abuse)",gambling harm / gambling disorder,D,Stigma-preferred language pairs,"""Abuse"" is both clinically obsolete and uniquely stigmatizing in addiction research; it reads as something the person did wrong.",gambling harm · gambling disorder.,,,n/a - language pair,abuse-as-in-gambling-abuse
"Failed treatment"" / ""non-compliant",treatment did not work for them / did not continue treatment,D,Stigma-preferred language pairs,"Puts the failure on the patient rather than on the fit of the service, which is a documented barrier to people returning after a recurrence.",treatment was not effective for them · chose not to continue.,,,n/a - language pair,failed-treatment-non-compliant
"Gambling responsibly"" (applied to a person in harm)",safer gambling / consumer protection,D,Stigma-preferred language pairs,"The phrase shifts responsibility onto the individual and away from product design, and it implies that the person experiencing harm was the irresponsible one.","safer gambling · harm reduction · consumer protections. Keep ""responsible gambling"" only when naming an operator's or regulator's own program by its actual name.",,,n/a - language pair,gambling-responsibly-applied-to-a-person-in-harm
Victim,person harmed by gambling,D,Stigma-preferred language pairs,"Removes agency and, in most coverage, is not what the person calls themselves. Use it only if they do.",person harmed by gambling · person experiencing gambling harm.,,,n/a - language pair,victim
Banned himself,self-excluded,D,Stigma-preferred language pairs,"""Banned"" implies an external punishment; self-exclusion is a voluntary, legally structured request the person made. Getting this right is also factually important, because bans and self-exclusions have different legal consequences.",self-excluded · enrolled in self-exclusion.,,,n/a - language pair,banned-himself
